Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
#BIDEN,biden,2020-03-14 00:31:11,mdwblitz,Twitter for Android,1238623674954960896,https://twitter.com/statuses/1238623674954960896
@KLGLASS2 So they’re more against Biden than tRump? To hell with them.,biden,2020-03-14 00:31:11,BlueFuzzy_M,Twitter for iPhone,1238623675953315840,https://twitter.com/statuses/1238623675953315840
"Even Nate says ""Game Over""",,2020-03-14 00:31:13,gryking,Twitter for iPhone,1238623683100508160,https://twitter.com/statuses/1238623683100508160
Lost in the surreality of this clip is him saying he’ll get the world together to pay bolsanaro 20 billion dollars to stop burning the rainforest,,2020-03-14 00:31:13,vander_iam,Twitter for iPhone,1238623685952536576,https://twitter.com/statuses/1238623685952536576
"@Igni_Herald I think either candidate will win against trump. But let's see which one remains alive before the end of the epidemic. And still I don't see any comparison even between the fans of Trump and Sanders. Just compare their rallies:
https://t.co/E0jWUkFNh5",sanders,2020-03-14 00:31:13,payam_f,Twitter Web App,1238623686095183872,https://twitter.com/statuses/1238623686095183872
"What Did Ex-Trump Aide Paul Manafort Really Do in Ukraine?  Forget Hunter Biden’s work I’m Ukraine, why have all the Ukrainian investigations into Manafort been stopped by Pompeo and Barr!?  https://t.co/t1xR9J1um3",biden,2020-03-14 00:31:13,GreatTammie,Twitter for iPhone,1238623686304903170,https://twitter.com/statuses/1238623686304903170
"The way he sorta trails off and the feed cuts to his logo, this feels like a comedy show skit",,2020-03-14 00:31:14,koumeposter,Twitter for Android,1238623689484230662,https://twitter.com/statuses/1238623689484230662
UNCLE!!!,,2020-03-14 00:31:15,chipsandgist,Twitter for iPhone,1238623691161980929,https://twitter.com/statuses/1238623691161980929
How would a Joe Biden presidency be for Israel? https://t.co/qYL4OJhBwE,biden,2020-03-14 00:31:15,jerryostrov,Twitter for iPhone,1238623694693511174,https://twitter.com/statuses/1238623694693511174
I’m constantly going back and forth with my view on Bernie Sanders I wanna like him but he also always seems like he’s angry and yelling and idk if the house of reps will unite if he’s in office or if anything he’s saying will happen/get passed thru Congress 😕,sanders,2020-03-14 00:31:16,taziadenise,Twitter for iPhone,1238623694781583360,https://twitter.com/statuses/1238623694781583360
"Jesus fucking christ. Let the man retire in peace, just leave him alone.",,2020-03-14 00:31:16,DilettanteDM,Twitter Web App,1238623695662452736,https://twitter.com/statuses/1238623695662452736
this man stay stumbling,,2020-03-14 00:31:17,david_vonmering,Twitter for iPhone,1238623698984157184,https://twitter.com/statuses/1238623698984157184
"Oh, and by the way, Black Boomers, I understand Biden is a familiar face and we're nostalgic for Obama, but he has said he will veto Medicare for all. You're at highest risk for #corona, and he doesn't care if you wipe our your retirement to survive. Vote Bernie, if you haven't.",biden,2020-03-14 00:31:17,ihategender,Twitter Web App,1238623700716589056,https://twitter.com/statuses/1238623700716589056
@theblaze Biden has led a single thing so what is she crying for. He probably forgot he even made a speech.,biden,2020-03-14 00:31:17,GenXConserv,Twitter for iPhone,1238623701450579968,https://twitter.com/statuses/1238623701450579968
@Peter_Wehner You are soooooo wrong.  You and your RAG magazine is what's wrong with America!  Look in the mirror.  Wait until your crazy senile Biden gets on stage to debate Trump.  Dahdahdah .... I apologize for being an idiot just like Peter,biden,2020-03-14 00:31:18,MargotLizardo,Twitter for Android,1238623703631454208,https://twitter.com/statuses/1238623703631454208
"That Crenshaw feller runs like a tailback. Left, fake right, straight,  left, fake straight, fake right, left",,2020-03-14 00:31:19,AgentPjr,Twitter for Android,1238623710552129537,https://twitter.com/statuses/1238623710552129537
@KyleKulinski can you please get Bernie to stop saying Biden can win. I saw him on the Jimmy Fallon show and it just hurt my heart hearing him say that😩,biden,2020-03-14 00:31:20,NAnimaku,Twitter for Android,1238623712548659202,https://twitter.com/statuses/1238623712548659202
😂😂🤣,,2020-03-14 00:31:21,lnewvell,Twitter for iPhone,1238623716025741314,https://twitter.com/statuses/1238623716025741314
"GOP chairman cancels Hunter Biden-related subpoena vote
RINO 👇🏽 traitor  https://t.co/WidTtCWyRs",biden,2020-03-14 00:31:22,SERD1983,Twitter for iPhone,1238623720610107392,https://twitter.com/statuses/1238623720610107392
BIDEN WAS ALSO ALL FOR SEGREGATION DONT LET HIS WORDS FOOL YOU HE DC ABOUT US,biden,2020-03-14 00:31:23,AlwTheQueensWay,Twitter for iPhone,1238623725077094401,https://twitter.com/statuses/1238623725077094401
"We owe Joe Biden’s calming, reassuring & leadership speech yesterday to the turn around in the stock market! Thank you Joe!",biden,2020-03-14 00:31:23,uche798,Twitter for iPhone,1238623727811735554,https://twitter.com/statuses/1238623727811735554
"@FoggyBottomLine I’m anti-fascism, which is why I am firmly against Joe Biden. Anti-establishment voters have not been solidified in their place. We can still win them over for the left. Joe Biden cannot win them over. To most, he reeks of elitism.",biden,2020-03-14 00:31:24,jacobgiolas,Twitter for iPhone,1238623728440770560,https://twitter.com/statuses/1238623728440770560
Okayyyy,,2020-03-14 00:31:24,Aly_L_Stein,Twitter for iPhone,1238623728965206018,https://twitter.com/statuses/1238623728965206018
@incognito_nunya Either Joe Biden Or Bernie Sanders. I was hoping that It would be Elizabeth Warren as well. Oh well.,"biden, sanders",2020-03-14 00:31:24,LadaLadunka93,Twitter for Android,1238623730353475586,https://twitter.com/statuses/1238623730353475586
@realDonaldTrump And Trumps lack of truth and being prepared in any way as well as denying there even is a problem ... will do more harm than Biden ever did ...  but Trump has 78% approval ... that is what counts.,biden,2020-03-14 00:31:25,DogsView2,Twitter Web App,1238623733398401025,https://twitter.com/statuses/1238623733398401025
🔥,,2020-03-14 00:31:25,rRefuse2Conform,Twitter for iPhone,1238623733566173184,https://twitter.com/statuses/1238623733566173184
A 'Never Biden' movement vows not to vote for Joe https://t.co/d0BhsA5atP via @politico,biden,2020-03-14 00:31:25,DrKurtMD,Twitter Web App,1238623733918478336,https://twitter.com/statuses/1238623733918478336
"Joe, where you goin joe? Joe?",,2020-03-14 00:31:25,Rioluke,Twitter for Android,1238623735566958598,https://twitter.com/statuses/1238623735566958598
Amen!,,2020-03-14 00:31:25,JesusFr14284725,Twitter for iPhone,1238623736045002752,https://twitter.com/statuses/1238623736045002752
"Like 'we need to pass the bill to see what's in it' #Pelosi and  'you know the thing"" #Biden.",biden,2020-03-14 00:31:26,NJCommonSense,Twitter Web App,1238623736774918148,https://twitter.com/statuses/1238623736774918148
@e3f3c53fc7ae44e If I am not mistaken same thing happened to Hunter Biden. When drugs were found in his car he was let go. NO CONSEQUENCE EVER FOR DEMOCRATS.,biden,2020-03-14 00:31:28,SwamyVisiri,Twitter Web App,1238623746228768768,https://twitter.com/statuses/1238623746228768768
@politico *most Bernie Sanders supporters,sanders,2020-03-14 00:31:28,Plague_Doctor_D,Twitter for iPhone,1238623747214643200,https://twitter.com/statuses/1238623747214643200
"I knew a dude in law school that spent all but the last week before the bar exam drinking Jack and snorting coke. He buckled down the last like four days and studied, and he passed the bar same as anyone that studied for 3 months. Joe Biden is that dude",biden,2020-03-14 00:31:28,aklingus,Tweetbot for iΟS,1238623748724379650,https://twitter.com/statuses/1238623748724379650
Biden's Illinois virtual town hall started two and a half hours late and at one point he just wandered out of the video. What are the odds that he just got lost and they couldn't find him?,biden,2020-03-14 00:31:29,rochlobster,Twitter for Android,1238623749555081217,https://twitter.com/statuses/1238623749555081217
I don’t own a gun. I am not a member of the NRA. I listened to this entire video.  Perhaps you should to. Mr. Wayne makes a very good point.,,2020-03-14 00:31:29,daddy2tlb,Twitter for iPhone,1238623753153716226,https://twitter.com/statuses/1238623753153716226
