Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
That Bernie cant catch a break....,,2020-02-21 13:39:06,mikeinknoxville,Twitter for Android,1230849430271791104,https://twitter.com/statuses/1230849430271791104
Putin wants to start spending again. Here’s how he’ll do it. https://t.co/j2W7VRGkdq via @bpolitics,,2020-02-21 13:39:06,DrAshok24796712,Twitter Web Client,1230849430552764417,https://twitter.com/statuses/1230849430552764417
"@politico If Bloomberg or Steyer gave two shits about anything but their own monstrous egos they'd be helping down ballot.

But they're not.","steyer, bloomberg",2020-02-21 13:39:07,snarkworthy,Twitter Web App,1230849432150822912,https://twitter.com/statuses/1230849432150822912
"20200219 - From DCAS/City Hall Black History - ""Black Leaders in Government"" event to Madison Avenue Bloomberg's Friendraiser event.

From Progressive  to Moderate events  I'm supporting all my friends and their invitiatives. https://t.co/cqIFsJ3q6y",bloomberg,2020-02-21 13:39:07,MarieDelus,Twitter for Android,1230849431735603201,https://twitter.com/statuses/1230849431735603201
She’s Pete Buttigieg’s top fundraiser. He’s the founder of Nest. And they’re Silicon Valley’s new power couple. https://t.co/RWnnBTVh14 via @voxdotcom,buttigieg,2020-02-21 13:39:07,TBlackwe85,Twitter Web Client,1230849433572724739,https://twitter.com/statuses/1230849433572724739
‘Tamales for Tío Bernie’: Sanders’ outreach to Latino voters pays off - Reuters https://t.co/cFFQknADJd,sanders,2020-02-21 13:39:08,barbaraebj,Twitter Web Client,1230849435493707776,https://twitter.com/statuses/1230849435493707776
@ewarren https://t.co/SDCgFvsXAW,warren,2020-02-21 13:39:08,sawyer_samual,Twitter Web App,1230849436072497153,https://twitter.com/statuses/1230849436072497153
This is why @dnc is kissing Bloomberg’s butt!,bloomberg,2020-02-21 13:39:08,Truthdojo,Twitter for iPhone,1230849438115078146,https://twitter.com/statuses/1230849438115078146
Oh Amy. You’re killing me with this.,,2020-02-21 13:39:08,Greg651,Twitter for iPhone,1230849438559719428,https://twitter.com/statuses/1230849438559719428
It’s a cold comfort she wasn’t asked about Warren. Yikes.,warren,2020-02-21 13:39:09,Josherz,Twitter for iPhone,1230849439973007361,https://twitter.com/statuses/1230849439973007361
@DanRather nope Warren hands down. Been very clear from the start. She studied LAW..she is in the fight for the long hall.,warren,2020-02-21 13:39:09,accurateDNA,Twitter for Android,1230849440698773506,https://twitter.com/statuses/1230849440698773506
"Spoiler alert: It's never happening. The only people who still support Obama in earnest are black folks (in real life) and catering to black folks with policy, speech and deed are a sure fire way to have white folks abandon you politically. It's happening to Warren right now.",warren,2020-02-21 13:39:09,rodimusprime,TweetDeck,1230849441713836032,https://twitter.com/statuses/1230849441713836032
@echoes_bones They won’t rig it for Warren. Either Pete or Bloomberg.,"warren, bloomberg",2020-02-21 13:39:09,Sailboatstudios,Twitter for iPhone,1230849442808463361,https://twitter.com/statuses/1230849442808463361
Me getting that bag while also voting for Bernie https://t.co/UxkASvyDhe,,2020-02-21 13:39:09,TheKodakChris,Twitter for Android,1230849442296815616,https://twitter.com/statuses/1230849442296815616
Pretty funny,,2020-02-21 13:39:09,elizbrownrn,Twitter for iPhone,1230849443060207617,https://twitter.com/statuses/1230849443060207617
"Als ik het goed begrijp dan staat hier dat als je een asociale eikel bent, de kans groter wordt dat je ontvankelijk bent voor de boodschap van populisten :)",,2020-02-21 13:39:10,kajleers,Twitter for iPhone,1230849443458637824,https://twitter.com/statuses/1230849443458637824
"¡Un SOCIALISTA en las primarias demócratas! Bernie Sanders es mucho más pragmático y menos ideológico de lo que a sus contrincantes les gustaría admitir. Lo cuenta Mark Weisbrot.
https://t.co/xREgU7xzB5",sanders,2020-02-21 13:39:10,ctxt_es,TweetDeck,1230849444280754177,https://twitter.com/statuses/1230849444280754177
"‘Four Quarts Make A Gallon. The Frontal Lobe Controls Decision Making. The Ottoman Empire Dissolved In 1922,” Says Amy Klobuchar, Continuing To Name Trivia Facts Hours After Debate Ends - https://t.co/nDsvoPEDHp...",klobuchar,2020-02-21 13:39:10,usalivefeed,USLiveFeed,1230849445635543042,https://twitter.com/statuses/1230849445635543042
"Bloomberg Is Paying More Each Month for ""Social Media Influencers"" to Promote His Campaign Than Russia Paid for Internet Ads During Entire 2016 Election https://t.co/Vi4CT2s1lr via @gatewaypundit",bloomberg,2020-02-21 13:39:10,Christianlord12,Twitter Web App,1230849446088466433,https://twitter.com/statuses/1230849446088466433
"No support for Bernie, but will spend billions trying to defeat Republicans in the down ballot. #VoteRepublican",,2020-02-21 13:39:10,grammyrepub,Twitter for iPad,1230849446348410881,https://twitter.com/statuses/1230849446348410881
"Go after trump, not your fellow candidates. This is handing the election to trump.",,2020-02-21 13:39:10,lesliesusan27,Twitter for iPad,1230849446424055809,https://twitter.com/statuses/1230849446424055809
Folks Bloomberg is a more stable Trump...can we not vote for him?,bloomberg,2020-02-21 13:39:11,MilesWilburn1,Twitter for iPhone,1230849448739319809,https://twitter.com/statuses/1230849448739319809
Watch: Joe Biden Thinks He’s in California When He’s in Nevada https://t.co/7LudaxZ8iG,biden,2020-02-21 13:39:11,karma1244,Twitter for iPhone,1230849449183842310,https://twitter.com/statuses/1230849449183842310
According to Bernie Sanders I am “bleeding out” on the “floor”,sanders,2020-02-21 13:39:11,newashcamp,Twitter for iPhone,1230849451046076416,https://twitter.com/statuses/1230849451046076416
"@MikeBloomberg ALL of them CLUELESS IMBECILES, anyone want to debate me on that?! Bloomberg is the EPITOME of the “lesser of 12 EVILS” philosophy, right!?! The crickets are a BRILLIANT addition!! Love it!!",bloomberg,2020-02-21 13:39:12,GehrigFan,Twitter for iPhone,1230849454535856129,https://twitter.com/statuses/1230849454535856129
"pic fudge packer pitcher or receiver 
- guess both -Yuck Smelly wiener :(",,2020-02-21 13:39:13,WHITE72MAN,Twitter Web App,1230849455953514497,https://twitter.com/statuses/1230849455953514497
"@PeteButtigieg How does Sanders want to burn the party down? Please explain. In reality, he is trying to renovate a party on life support back to its eroding class roots. None of his policies are new, these are policies radicals like FDR and Lyndon Johnson ran on.","sanders, buttigieg",2020-02-21 13:39:13,more_than_harry,Twitter for Android,1230849456964296705,https://twitter.com/statuses/1230849456964296705
"Amy Klobuchar can win where Democrats need to win in 2020, By Kay Steiger, 02/21/20

https://t.co/ycJAUqKVWi via vox",klobuchar,2020-02-21 13:39:13,klobucharmy,Twitter Web App,1230849458520199168,https://twitter.com/statuses/1230849458520199168
"Yesterday a coworker couldn’t name a single democrat running, I then told them I was voting for Warren and they asked “Is HE a senator?” 

Me: https://t.co/DETqlTKj0N",warren,2020-02-21 13:39:13,carterandwright,Twitter for iPhone,1230849458054868993,https://twitter.com/statuses/1230849458054868993
"I thinks this should tell us something but I am not sure exactly what.

Something something popular vs megalomaniac",,2020-02-21 13:39:13,HappiestYogi,Twitter for Android,1230849459195654146,https://twitter.com/statuses/1230849459195654146
The GOP’s new 2020 strategy: Invoke President Sanders - https://t.co/D3WGrhAl9Q https://t.co/gk3V3hYc9W,sanders,2020-02-21 13:39:14,Wazupnaija,WhazupNaija,1230849460575625217,https://twitter.com/statuses/1230849460575625217
