Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
@freezerohedge Wrong! Sanders panic.,sanders,2020-02-27 15:49:37,RoninBaba,Twitter for iPhone,1233056599905832962,https://twitter.com/statuses/1233056599905832962
🔥🔥🔥,,2020-02-27 15:49:37,roxanne1032,Twitter for iPhone,1233056600312541187,https://twitter.com/statuses/1233056600312541187
Joe Walsh: I’m no fan of Bernie Sanders. But #NeverTrump means never Trump. https://t.co/sf1nLbgCW3,sanders,2020-02-27 15:49:37,dimacfan,Twitter for iPad,1233056600937488384,https://twitter.com/statuses/1233056600937488384
"@SarahKSilverman Please brush up on you info.. Before you campaign for Bernie. Warren is trashing and lying  about  Bernie in her sneaky way, LISTEN UP Thank you",warren,2020-02-27 15:49:37,RiseUpPeeps,Twitter Web App,1233056601600335873,https://twitter.com/statuses/1233056601600335873
Intersectional imperialism 💘,,2020-02-27 15:49:37,befflebeffle,Twitter for Android,1233056601805860864,https://twitter.com/statuses/1233056601805860864
"Funny how when you disarm the populace, they just “seem to want” whatever system the magnanimous government sees fit to give them, right Mini @MikeBloomberg?",bloomberg,2020-02-27 15:49:37,Pr1vate_Hud50n,Twitter for iPhone,1233056602187554816,https://twitter.com/statuses/1233056602187554816
Shut up POTUS been putting up for 3 years sisi lala Biden never be my President,biden,2020-02-27 15:49:38,Herbielovebug4,Twitter for Android,1233056604070658051,https://twitter.com/statuses/1233056604070658051
"So, Bloomberg made 15 billion during the mortgage crisis. Millions were underwater with their homes and had to short sale at a loss or foreclose...  this is a Democrat candidate?",bloomberg,2020-02-27 15:49:38,Kristina_2020,Twitter Web App,1233056604104187906,https://twitter.com/statuses/1233056604104187906
Yes.,,2020-02-27 15:49:38,EricDChenoweth,Twitter Web App,1233056605287129094,https://twitter.com/statuses/1233056605287129094
@RedTRaccoon Another reason to vote Warren. I bet she's working on a plan now.,warren,2020-02-27 15:49:38,RenDireWolf,Twitter Web App,1233056606327209984,https://twitter.com/statuses/1233056606327209984
@Sean_Novawerke Sanders is an actual communist.,sanders,2020-02-27 15:49:39,CarmineSabia,Twitter Web App,1233056609670238208,https://twitter.com/statuses/1233056609670238208
:-(,,2020-02-27 15:49:39,yancabanca,Twitter for iPhone,1233056611771584513,https://twitter.com/statuses/1233056611771584513
Check out SC voters 18-49. They support Joe https://t.co/S303MDZQ6f,,2020-02-27 15:49:39,OG_AC_Slater,Twitter Web App,1233056611431784450,https://twitter.com/statuses/1233056611431784450
I am long $DUCKS,,2020-02-27 15:49:40,Eric714,Twitter Web App,1233056613377941507,https://twitter.com/statuses/1233056613377941507
De Blasio Talks Bloomberg and Sanders in Exclusive Interview With Fox – Strictly News 💥CHECK OUT💥“BANKRUPT” NEW YORK CITY’S DEBLASIO WHO WITH AOC - PEEWEE NADLER - UPCHUCKY SCHUMER & CUOMO (SPIKE) SUCKED THE BLOOD OUT OF NEW YORK CITY-INTENSE INTRAVENOUS https://t.co/8ITukLCZCT,"sanders, bloomberg",2020-02-27 15:49:40,MakoidCongdon,Twitter for iPhone,1233056613390524416,https://twitter.com/statuses/1233056613390524416
"A Micheal Bloomberg ad just came up in my Texas Government class and y'all my professor got so annoyed, I feel that emotion",bloomberg,2020-02-27 15:49:40,whoviancrusher,Twitter Web App,1233056614287998976,https://twitter.com/statuses/1233056614287998976
"Senator Bernie Sanders’ recent primary wins are causing some to debate the impact of potential new health care reform on markets. Head of U.S. Public Policy Research Michael Zezas shares three insights.
 https://t.co/uGsLYHB6EZ",sanders,2020-02-27 15:49:40,PHorowitzMS,Hearsay Social,1233056614422208517,https://twitter.com/statuses/1233056614422208517
Miss Black America’s endorsing Mayo Pete? 🥴,,2020-02-27 15:49:40,HarlemMC,Twitter for iPhone,1233056615110184961,https://twitter.com/statuses/1233056615110184961
"Friedman doesn’t know shit about what’s happening outside of his elitist liberal bubble. I went a year or so ago to see E.O. Wilson talk about climate change, and a Friedman was interviewing him. I asked Wilson what he thought needed to happen for the establishment to care (1/2)",,2020-02-27 15:49:40,ethereuhhhl,Twitter for iPhone,1233056615097651203,https://twitter.com/statuses/1233056615097651203
#Biden2020 #BidenHarris2020,"biden, #biden",2020-02-27 15:49:40,alinatede,Twitter for Android,1233056615156322305,https://twitter.com/statuses/1233056615156322305
@PatrickRuffini How does Steyer stay in the race after this?   Why not just light money on fire?,steyer,2020-02-27 15:49:41,InmanRoshi,Twitter Web App,1233056616301256704,https://twitter.com/statuses/1233056616301256704
You are straight up delusional. The boarder patrol just caught three with signs of the virus. Open the boarder so the virus can flood in. Crazy delusional,,2020-02-27 15:49:41,albertamark11,Twitter for iPhone,1233056617215586307,https://twitter.com/statuses/1233056617215586307
