tweet,keyword,date,user,source,tweet_id,url
I guess Libs considered Obama/Biden cages “good” cages...,biden,2020-02-16 15:16:58,blueonyx500,Twitter for iPhone,1229062118969872385,https://twitter.com/statuses/1229062118969872385
"Yes, you are on a sinking ship. A lifeboat is coming your way. It is a luxury boat run on fossil fuels driven by, say, Mike Bloomberg. We are on the sinking ship refusing the lifeboat because....clearly we do not see four more years as a sinking ship. But it is.",bloomberg,2020-02-16 15:16:58,AwardsDaily,Twitter Web App,1229062120207110146,https://twitter.com/statuses/1229062120207110146
"Note that in those two cases, voting D is not saving democracy- democracy is already lost.  For democracy to exist, elections must be fair and you must not be able to buy the election.  If the DNC cheats, the election was not fair, if Bloomberg is the nom, he bought the election.",bloomberg,2020-02-16 15:16:59,bhurt42,Twitter Web App,1229062120425345024,https://twitter.com/statuses/1229062120425345024
@PorMiRaza1 Bernie Sanders 2020 🇺🇸🇲🇽,sanders,2020-02-16 15:17:00,Ch73Mario,Twitter for Android,1229062124472799232,https://twitter.com/statuses/1229062124472799232
What Pete Buttigieg said,buttigieg,2020-02-16 15:17:00,LittleMissDebb1,Twitter Web App,1229062124669984774,https://twitter.com/statuses/1229062124669984774
@NGrossman81 putting aside the obvious (that bloomberg is a former mayor of americas largest city and his donations to both major parties has influenced their willingness to criticise him) it is hilarious that a pol sci student would learn more from a wiki than a professor,bloomberg,2020-02-16 15:17:00,Acousticoholic,Twitter Web App,1229062125773082626,https://twitter.com/statuses/1229062125773082626
One word. Benghazi. Never forget. Guess Bloomberg was ok with that.,bloomberg,2020-02-16 15:17:00,stanton_ld,Twitter for iPhone,1229062127937212416,https://twitter.com/statuses/1229062127937212416
Latinos Could Seal The Democratic Nomination For Bernie Sanders,sanders,2020-02-16 15:17:00,RedState,Zapier.com,1229062124737122305,https://twitter.com/statuses/1229062124737122305
"@48kiloss i have a political boner for Mr Bernard Sanders, just saying.",sanders,2020-02-16 15:17:01,KhalTurk,Twitter Web App,1229062132144181248,https://twitter.com/statuses/1229062132144181248
"@SethAbramson Why is Trump so afraid to run against Biden? Is it possible he is looking at astrological predictions. Based on Indian astrological predictions, Biden would be influenced under Jupiter-Rahu (dragon head) which is promising a victory against Trump.🤣",biden,2020-02-16 15:17:01,007Achyuta,Twitter Web App,1229062132815233024,https://twitter.com/statuses/1229062132815233024
